1,The Shawshank Redemption,1994,9.217
2,The Godfather,1972,9.159
3,The Godfather: Part II,1974,8.995
4,The Dark Knight,2008,8.955
5,12 Angry Men,1957,8.908
6,Schindler's List,1993,8.898
7,The Lord of the Rings: The Return of the King,2003,8.868
8,Pulp Fiction,1994,8.866
9,The Good, the Bad and the Ugly,1966,8.833
10,Fight Club,1999,8.785
11,The Lord of the Rings: The Fellowship of the Ring,2001,8.769
12,Forrest Gump,1994,8.734
13,Star Wars: Episode V - The Empire Strikes Back,1980,8.728
14,Inception,2010,8.722
15,The Lord of the Rings: The Two Towers,2002,8.688
16,One Flew Over the Cuckoo's Nest,1975,8.671
17,Goodfellas,1990,8.662
18,The Matrix,1999,8.649
19,Seven Samurai,1954,8.632
20,City of God,2002,8.608
21,Star Wars: Episode IV - A New Hope,1977,8.608
22,Se7en,1995,8.604
23,The Silence of the Lambs,1991,8.589
24,It's a Wonderful Life,1946,8.579
25,Life Is Beautiful,1997,8.57
26,The Usual Suspects,1995,8.553
27,Spirited Away,2001,8.54
28,Saving Private Ryan,1998,8.539
29,Léon: The Professional,1994,8.539
30,Interstellar,2014,8.508
31,The Green Mile,1999,8.508
32,American History X,1998,8.506
33,Psycho,1960,8.503
34,Once Upon a Time in the West,1968,8.502
35,City Lights,1931,8.501
36,Casablanca,1942,8.5
37,Modern Times,1936,8.487
38,The Intouchables,2011,8.487
39,The Pianist,2002,8.481
40,The Departed,2006,8.478
41,Terminator 2,1991,8.476
42,Raiders of the Lost Ark,1981,8.476
43,Back to the Future,1985,8.474
44,Rear Window,1954,8.474
45,Whiplash,2014,8.472
46,Gladiator,2000,8.464
47,The Lion King,1994,8.459
48,The Prestige,2006,8.457
49,Memento,2000,8.449
50,Apocalypse Now,1979,8.448
51,Alien,1979,8.438
52,The Great Dictator,1940,8.426
53,Cinema Paradiso,1988,8.421
54,Sunset Boulevard,1950,8.418
55,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.416
56,Grave of the Fireflies,1988,8.415
57,The Lives of Others,2006,8.412
58,Paths of Glory,1957,8.4
59,The Shining,1980,8.392
60,Django Unchained,2012,8.392
61,Coco,2017,8.39
62,WALL·E,2008,8.376
63,Princess Mononoke,1997,8.361
64,American Beauty,1999,8.359
65,The Dark Knight Rises,2012,8.356
66,Witness for the Prosecution,1957,8.353
67,Old Boy,2003,8.353
68,Aliens,1986,8.351
69,Once Upon a Time in America,1984,8.348
70,Das Boot,1981,8.336
71,Citizen Kane,1941,8.332
72,Vertigo,1958,8.322
73,North by Northwest,1959,8.321
